normalized_comment,number_of_reviews,number_of_products,canonical_product_links
"don't really like this product it did not do what i thought it would, not fit me.",2,2,"[""https://www.ulta.com/p/porefessional-lite-ultra-lightweight-face-primer-mini-pimprod2029931"", ""https://www.ulta.com/p/porefessional-lite-ultra-lightweight-face-primer-pimprod2029932""]"
don't really like this. it makes my skin feel dry. i don't like a matte finish.,2,2,"[""https://www.ulta.com/p/matte-cream-mattifying-blurring-primer-pimprod2044585"", ""https://www.ulta.com/p/travel-size-matte-cream-mattifying-blurring-primer-pimprod2044589""]"
"easily blendable, smells good, great color, and gives you an amazing glow. the price is also amazing compared to other things on the market of this quality.10/10!!!",2,2,"[""https://www.ulta.com/p/butter-bronzer-murumuru-butter-bronzer-xlsImpprod13621011"", ""https://www.ulta.com/p/matte-monoi-butter-bronzer-pimprod2021750""]"
essential in my makeup routine.,2,2,"[""https://www.ulta.com/p/mineral-veil-setting-powder-VP11355"", ""https://www.ulta.com/p/tinted-mineral-veil-setting-powder-prod110002""]"
"even tho it is pricey, its a staple in my makeup routine. 100% worth it.",2,2,"[""https://www.ulta.com/p/mini-vitamin-enriched-face-base-moisturizer-primer-with-vitamin-c-hyaluronic-acid-pimprod2025025"", ""https://www.ulta.com/p/vitamin-enriched-face-base-moisturizer-primer-with-vitamin-c-hyaluronic-acid-pimprod2025028""]"
evens out those small imperfections,2,2,"[""https://www.ulta.com/p/smooth-affair-facial-primer-brightener-pimprod2004113"", ""https://www.ulta.com/p/smooth-affair-mattifying-face-primer-pimprod2033620""]"
excellent,2,2,"[""https://www.ulta.com/p/mini-tinted-moisturizer-natural-skin-perfector-broad-spectrum-spf-30-pimprod2039349"", ""https://www.ulta.com/p/superfood-glow-priming-moisturiser-pimprod2022684""]"
excellent coverage,2,2,"[""https://www.ulta.com/p/mini-mac-prep-prime-fix-primer-setting-spray-xlsImpprod15921206"", ""https://www.ulta.com/p/prep-prime-fix-primer-setting-spray-xlsImpprod15921204""]"
excellent product,2,2,"[""https://www.ulta.com/p/renergie-lift-makeup-lightweight-liquid-foundation-spf-27-xlsImpprod3650154"", ""https://www.ulta.com/p/travel-size-take-day-off-makeup-remover-xlsImpprod11951027""]"
excellent product and appreciated the suggestion to use with my foundation.,2,2,"[""https://www.ulta.com/p/mini-mac-prep-prime-fix-primer-setting-spray-xlsImpprod15921206"", ""https://www.ulta.com/p/prep-prime-fix-primer-setting-spray-xlsImpprod15921204""]"
